state,city,abbr,city_id,white,black,hispanic,asian,american_indian,alaskan_native,native_hawaiian,city_k12,city_teacher,state_k12,state_teacher
Alaska,,AK,1,0,1,0,0,0,1,1,,,0.204887211,0.054278512
Alaska,,AK,1,0,1,0,0,1,0,0,,,0.051035129,0.032520499
Alaska,,AK,1,0,1,0,0,1,0,1,,,0.06713149,0.032520499
Alaska,,AK,1,0,1,0,0,1,1,0,,,0.210048288,0.061142772
Alaska,,AK,1,0,1,0,0,1,1,1,,,0.226144642,0.061142772
Alaska,,AK,1,0,1,0,1,0,0,0,,,0.091023996,0.034935702
Alaska,,AK,1,0,1,0,1,0,0,1,,,0.107120357,0.034935702
Alaska,,AK,1,0,1,0,1,0,1,0,,,0.250037134,0.063557975
Alaska,,AK,1,0,1,0,1,0,1,1,,,0.266133487,0.063557975
Alaska,,AK,1,0,1,0,1,1,0,0,,,0.112281427,0.041799963
Alaska,,AK,1,0,1,0,1,1,0,1,,,0.12837778,0.041799963
Alaska,,AK,1,0,1,0,1,1,1,0,,,0.271294594,0.07042224
Alaska,,AK,1,0,1,0,1,1,1,1,,,0.287390947,0.07042224
Alaska,,AK,1,0,1,1,0,0,0,0,,,0.120758429,0.092307366
Alaska,,AK,1,0,1,1,0,0,0,1,,,0.136854783,0.092307366
Alaska,,AK,1,0,1,1,0,0,1,0,,,0.279771566,0.120929644
Alaska,,AK,1,0,1,1,0,0,1,1,,,0.29586792,0.120929644
Alaska,,AK,1,0,1,1,0,1,0,0,,,0.142015859,0.099171631
Alaska,,AK,1,0,1,1,0,1,0,1,,,0.158112213,0.099171631
Alaska,,AK,1,0,1,1,0,1,1,0,,,0.301029027,0.127793908
Alaska,,AK,1,0,1,1,0,1,1,1,,,0.31712538,0.127793908
Alaska,,AK,1,0,1,1,1,0,0,0,,,0.18200472,0.101586834
Alaska,,AK,1,0,1,1,1,0,0,1,,,0.198101074,0.101586834
Alaska,,AK,1,0,1,1,1,0,1,0,,,0.341017872,0.130209103
Alaska,,AK,1,0,1,1,1,0,1,1,,,0.357114226,0.130209103
Alaska,,AK,1,0,1,1,1,1,0,0,,,0.20326215,0.108451098
Alaska,,AK,1,0,1,1,1,1,0,1,,,0.219358504,0.108451098
Alaska,,AK,1,0,1,1,1,1,1,0,,,0.362275302,0.137073368
Alaska,,AK,1,0,1,1,1,1,1,1,,,0.378371656,0.137073368
Alaska,,AK,1,1,0,0,0,0,0,0,,,0.507915556,0.821952939
Alaska,,AK,1,1,0,0,0,0,0,1,,,0.52401191,0.821952939
Alaska,,AK,1,1,0,0,0,0,1,0,,,0.666928709,0.850575209
Alaska,,AK,1,1,0,0,0,0,1,1,,,0.683025062,0.850575209
Alaska,,AK,1,1,0,0,0,1,0,0,,,0.529172957,0.828817189
Alaska,,AK,1,1,0,0,0,1,0,1,,,0.54526931,0.828817189
Alaska,,AK,1,1,0,0,0,1,1,0,,,0.688186109,0.857439458
Alaska,,AK,1,1,0,0,0,1,1,1,,,0.704282463,0.857439458
Alaska,,AK,1,1,0,0,1,0,0,0,,,0.569161832,0.831232429
Alaska,,AK,1,1,0,0,1,0,0,1,,,0.585258186,0.831232429
Alaska,,AK,1,1,0,0,1,0,1,0,,,0.728174984,0.859854698
Alaska,,AK,1,1,0,0,1,0,1,1,,,0.744271338,0.859854698
Alaska,,AK,1,1,0,0,1,1,0,0,,,0.590419233,0.838096678
Alaska,,AK,1,1,0,0,1,1,0,1,,,0.606515586,0.838096678
Alaska,,AK,1,1,0,0,1,1,1,0,,,0.749432385,0.866718948
Alaska,,AK,1,1,0,0,1,1,1,1,,,0.765528738,0.866718948
Alaska,,AK,1,1,0,1,0,0,0,0,,,0.598896265,0.888604045
Alaska,,AK,1,1,0,1,0,0,0,1,,,0.614992619,0.888604045
Alaska,,AK,1,1,0,1,0,0,1,0,,,0.757909417,0.917226315
Alaska,,AK,1,1,0,1,0,0,1,1,,,0.774005771,0.917226315
Alaska,,AK,1,1,0,1,0,1,0,0,,,0.620153666,0.895468295
Alaska,,AK,1,1,0,1,0,1,0,1,,,0.636250019,0.895468295
Alaska,,AK,1,1,0,1,0,1,1,0,,,0.779166818,0.924090564
Alaska,,AK,1,1,0,1,0,1,1,1,,,0.795263171,0.924090564
Alaska,,AK,1,1,0,1,1,0,0,0,,,0.660142541,0.897883534
Alaska,,AK,1,1,0,1,1,0,0,1,,,0.676238894,0.897883534
Alaska,,AK,1,1,0,1,1,0,1,0,,,0.819155693,0.926505804
Alaska,,AK,1,1,0,1,1,0,1,1,,,0.835252047,0.926505804
Alaska,,AK,1,1,0,1,1,1,0,0,,,0.681399941,0.904747784
Alaska,,AK,1,1,0,1,1,1,0,1,,,0.697496295,0.904747784
Alaska,,AK,1,1,0,1,1,1,1,0,,,0.840413094,0.933370054
Alaska,,AK,1,1,0,1,1,1,1,1,,,0.856509447,0.933370054
